Current Kubernetes Context: mps-mde-k8s-prd-canc-5
namespace : tvm
+------------------------------------------------+------------------------------------------------------------------------+--------------+---------+--------+
|                         Service (Release) name |                                                              Node type | Max replicas |  Memory |    CPU |
+------------------------------------------------+------------------------------------------------------------------------+--------------+---------+--------+
| analyticsservice                               | {'Standard_D32s_v3': 7, 'Standard_E48s_v3': 13, 'Standard_D64s_v3': 4} | 30           | 2048Mi  | 1      |
| analyticsserviceingestion                      | {'Standard_D32s_v3': 2, 'Standard_E48s_v3': 2}                         | 60           | 4096Mi  | 2      |
| apigateway                                     | {'Standard_D64s_v3': 1, 'Standard_E48s_v3': 2}                         | 8            | 3Gi     | 2      |
| assessmentapi                                  | Standard_D32s_v3                                                       | 10           | 7Gi     | 2      |
| computeservice-as-baseline-dr                  | Standard_E48s_v3                                                       | {}           | 220Gi   | 16     |
| computeservice-as-baseline                     | Standard_E48s_v3                                                       | {}           | 220Gi   | 28     |
| computeservice-as-dr                           | Standard_E48s_v3                                                       | {}           | 220Gi   | 16     |
| computeservice-as                              | Standard_E48s_v3                                                       | {}           | 220Gi   | 28     |
| computeservice-asweb                           | Standard_D32s_v3                                                       | 10           | 7Gi     | 2      |
| computeservice-ca-dr                           | Standard_E48s_v3                                                       | {}           | 220Gi   | 7      |
| computeservice-ca                              | Standard_E48s_v3                                                       | {}           | 220Gi   | 28     |
| computeservice-dr                              | Standard_E48s_v3                                                       | {}           | 220Gi   | 7      |
| computeservice-sca-dr                          | Standard_E48s_v3                                                       | {}           | 220Gi   | 28     |
| computeservice-sca                             | Standard_E48s_v3                                                       | {}           | 220Gi   | 28     |
| computeservice                                 | Standard_E48s_v3                                                       | {}           | 220Gi   | 28     |
| computeservice-vaweb                           | Standard_D32s_v3                                                       | 18           | 32Gi    | 2      |
| datacooking-normalizationservice               | {'Standard_D32s_v3': 1, 'Standard_E48s_v3': 1}                         | 8            | 10Gi    | 1      |
| exportworker                                   | Standard_E48s_v3                                                       | 5            | 220Gi   | 28     |
| feedbackservice                                | {'Standard_E48s_v3': 2}                                                | 8            | 1024Mi  | 1      |
| geneva-logger-tvm                              | {}                                                                     | {}           |         |        |
| immune-dbsyncservice                           | Standard_D32s_v3                                                       | {}           | 100Gi   | 25     |
| immune-kusto-orchestrator                      | {'Standard_E48s_v3': 2}                                                | 8            | 1024Mi  | 1      |
| immune-ruleengine                              | Standard_E48s_v3                                                       | 8            | 220Gi   | 28     |
| immune-rulewriter                              | {'Standard_D64s_v3': 1, 'Standard_D32s_v3': 2}                         | 300          | 2Gi     | 1      |
| immune-telemetry-enricher                      | Standard_D32s_v3                                                       | 300          | 32Gi    | 14     |
| immune-telemetry-filter                        | Standard_D32s_v3                                                       | 300          | 32Gi    | 8      |
| immune-webapi                                  | Standard_D32s_v3                                                       | 8            | 8Gi     | 1      |
| keyvault-watcher-tvm                           | {}                                                                     | {}           |         |        |
| manualcontentmanagementservice                 | {'Standard_D64s_v3': 1, 'Standard_D32s_v3': 1}                         | 8            | 1024Mi  | 1      |
| mss-aadgmsync                                  | Standard_D32s_v3                                                       | {}           | 32Gi    | 6      |
| mss-benchmark                                  | Standard_D32s_v3                                                       | {}           | 24Gi    | 8      |
| mss-content                                    | {'Standard_E48s_v3': 4, 'Standard_D32s_v3': 4}                         | 16           | 8Gi     | 2      |
| mss-ingestion                                  | {'Standard_E48s_v3': 1, 'Standard_D64s_v3': 2, 'Standard_D32s_v3': 1}  | {}           | 8Gi     | 2      |
| mss-mdoscore                                   | Standard_D32s_v3                                                       | {}           | 25Gi    | 7      |
| mss-mdosync                                    | Standard_D32s_v3                                                       | {}           | 16Gi    | 1      |
| mss-pollscores                                 | {'Standard_E48s_v3': 4}                                                | {}           | 16Gi    | 2      |
| mss-spo                                        | {'Standard_E48s_v3': 2}                                                | {}           | 8Gi     | 2      |
| networkscan-scheduler                          | {'Standard_D32s_v3': 1}                                                | 3            | 1Gi     | 1      |
| networkscan                                    | {'Standard_D32s_v3': 1, 'Standard_E48s_v3': 3}                         | 8            | 4Gi     | 2      |
| notificationsprocessor                         | {'Standard_E48s_v3': 4}                                                | {}           | 1024Mi  | 1      |
| orgsettings-storeservice                       | {'Standard_E48s_v3': 2}                                                | 8            | 8192Mi  | 1      |
| oversight-orchestrators                        | Standard_D32s_v3                                                       | 8            | 40Gi    | 4      |
| oversight-tenantmapper                         | Standard_D32s_v3                                                       | 8            | 40Gi    | 4      |
| polaris-immune-mde-kc-immune-mde-kc            | Standard_E48s_v3                                                       | 100          | 32870Mi | 28200m |
| polaris-immune-mde-kc-immune-mde-kc-dr         | Standard_E48s_v3                                                       | 100          | 32870Mi | 28200m |
| polaris-oversight-xspm-kc-oversight-xspm-kc    | {}                                                                     | 50           | 8192Mi  | 4      |
| polaris-oversight-xspm-kc-oversight-xspm-kc-dr | {}                                                                     | 50           | 8192Mi  | 4      |
| posture-entitiesservice                        | {'Standard_D64s_v3': 1, 'Standard_E48s_v3': 1}                         | 8            | 110Gi   | 28     |
| posture-security-events-ingestion              | {'Standard_E48s_v3': 2}                                                | 4            | 8Gi     | 2      |
| posture-security-events-processor              | {'Standard_D32s_v3': 1, 'Standard_E48s_v3': 1}                         | 4            | 8Gi     | 2      |
| posture-security-events-webapi                 | {'Standard_E48s_v3': 1, 'Standard_D64s_v3': 1}                         | 4            | 8Gi     | 2      |
| posture-webfrontend                            | {'Standard_E48s_v3': 2}                                                | 8            | 8Gi     | 2      |
| productsintelligence-storeservice              | {'Standard_E48s_v3': 2, 'Standard_D32s_v3': 1}                         | 5            | 1024Mi  | 1      |
| remediation-taskservice                        | {'Standard_E48s_v3': 4}                                                | 8            | 6Gi     | 2      |
| remediation-ticketservice                      | {'Standard_E48s_v3': 2}                                                | {}           | 6Gi     | 2      |
| reporting-sca                                  | Standard_E48s_v3                                                       | {}           | 10Gi    | 5      |
| securescore-mde                                | {'Standard_D32s_v3': 1, 'Standard_E48s_v3': 1}                         | {}           | 4Gi     | 2      |
| securescore-webrole                            | {'Standard_D64s_v3': 1, 'Standard_D32s_v3': 1}                         | {}           | 12Gi    | 1      |
| tvmexportservice                               | {'Standard_D32s_v3': 2}                                                | 8            | 1024Mi  | 1      |
| vulnerabilitiesintelligence-storeservice       | {'Standard_E48s_v3': 3, 'Standard_D32s_v3': 2}                         | 10           | 20Gi    | 4      |
+------------------------------------------------+------------------------------------------------------------------------+--------------+---------+--------+
namespace : cloud
+------------------------------------------+-----------------------------------------------------------------------+--------------+---------+--------+
|                   Service (Release) name |                                                             Node type | Max replicas |  Memory |    CPU |
+------------------------------------------+-----------------------------------------------------------------------+--------------+---------+--------+
| cloud-aadmachineinfo-core                | Standard_D32s_v3                                                      | 200          | 14Gi    | 8      |
| cloud-alertwebhooks-functions            | Standard_D32s_v3                                                      | 4            | 16Gi    | 4      |
| cloud-api-filesimilarity                 | {'Standard_D32s_v3': 1, 'Standard_E48s_v3': 2, 'Standard_D64s_v3': 1} | 32           | 2Gi     | 1      |
| cloud-api-kqlcompiler                    | {'Standard_E48s_v3': 2, 'Standard_D32s_v3': 2}                        | 32           | 2Gi     | 1      |
| cloud-apiportal                          | Standard_D32s_v3                                                      | 32           | 4Gi     | 2      |
